-36,-21,46
-38,-21,43
-49,-19,38
-47,-19,40
-47,-19,40
-48,-21,38
-48,-20,39
-44,-20,42
-45,-20,41
-39,-20,44
-42,-19,42
-39,-18,45
-35,-21,48
-39,-20,47
-41,-19,46
-39,-20,45
-38,-20,46
-40,-19,45
-40,-19,44
-40,-20,46
-38,-20,46
-38,-19,47
-40,-19,46
-37,-20,47
-38,-20,46
-39,-20,46
-39,-20,46
-38,-19,46
-39,-20,46
-39,-20,46
-38,-19,46
-38,-20,47
-37,-20,47
-38,-19,46
-38,-19,46
-38,-20,46
-38,-20,46
-38,-19,46
-38,-20,46
-37,-20,46
-37,-20,47
-37,-20,47
-37,-20,47
-38,-19,46
-37,-20,48
-35,-20,48
-36,-19,49
-37,-19,47
-37,-19,47
-36,-20,48
-36,-20,47
-36,-20,47
-35,-19,48
-37,-20,48
-37,-20,48
-36,-20,47
-37,-19,47
-36,-20,48
-36,-20,48
